公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
艾絲資訊股份有限公司,艾絲資訊 PHP 系統開發工程師,http://www.104.com.tw/job/4ua1d?jobsource=hotjob_chr,"月薪 40,000~60,000元",全職,台北市大同區延平北路二段202號B1,不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1至2 人,上班族、應屆畢業生歡迎身心障礙人士，需附身心障礙證明【相關法令】,不拘,專科、大學、碩士,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /略懂、讀 /中等、寫 /中等,不拘
茂林光電科技股份有限公司,【茂林光電  徵的是你】繪圖助理工程師 (新增),http://www.104.com.tw/job/70m4u?jobsource=hotjob_chr,"月薪 28,000~55,000元",全職,桃園市中壢區民權路三段1149號(320),不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1 人,上班族、應屆畢業生,1年以上,專科、大學、碩士,機械工程相關、電機電子工程相關、工業工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,AutoCad 2D、AutoCad 3D
開榮股份有限公司,產品應用專員 Applications Specialist -南區,http://www.104.com.tw/job/6y482?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,高雄市苓雅區憲政路,不需負擔管理責任,需出差，一年累積時間未定,日班，08：30~17：30,週休二日,不限,1 人,上班族,2年以上,大學以上,醫藥衛生學科類,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
瀚強工程有限公司,工務助理【需建築相關科系，歡迎社會新鮮人】,http://www.104.com.tw/job/70bu8?jobsource=hotjob_chr,"月薪 35,000元以上",全職,桃園市龜山區大坑村17鄰陳厝坑路181號,不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1至5 人,上班族、應屆畢業生,不拘,高中以上,建築及都市規劃學科類,不拘,Excel、PowerPoint、Word
"SKF Taiwan Co., Ltd._斯凱孚股份有限公司",可靠度業務工程師,http://www.104.com.tw/job/6wd3f?jobsource=hotjob_chr,"月薪 30,000~45,000元",全職,台中市大雅區中山七路2號,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班,週休二日,一個月內,1 人,上班族、應屆畢業生,1年以上,專科、大學、碩士,不拘,中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等台語 -- 中等,Windows 7、Windows Server 2012、Windows 10、Access、MS SQL、MySQL、Adobe Acrobat、Excel、PowerPoint、Word
英濟股份有限公司,生醫事業 製程工程師,http://www.104.com.tw/job/71eaq?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市中和區建八路16號,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1 人,上班族,8年以上,專科,工業工程相關、機械工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,AutoCAD
太聯事業股份有限公司,事業開發助理 (全球事業開發部),http://www.104.com.tw/job/7195j?jobsource=hotjob_chr,"月薪 35,000~50,000元",全職,新北市三重區中正北路315巷6弄14號,不需負擔管理責任,無需出差外派,日班，9:00- 18:00,週休二日,不限,1至2 人,上班族,1年以上,專科以上,商業及管理學科類、電機電子工程相關、機械工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows XP、Excel、Outlook、PowerPoint、Word
易大科技股份有限公司,現場管理工程師(彰化),http://www.104.com.tw/job/6zrnb?jobsource=hotjob_chr,"月薪 31,000元以上",全職,彰化縣線西鄉寓埔村中正路213號,管理5-8人,無需出差外派,日班,週休二日,一個月內,1至2 人,上班族、二度就業,1年以上,高中以上,不拘,台語 -- 精通,不拘
"SKF Taiwan Co., Ltd._斯凱孚股份有限公司",服務工程師,http://www.104.com.tw/job/5i2h5?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市大雅區中山五路30號,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班，0830~1730,週休二日,不限,1 人,上班族、應屆畢業生,不拘,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通台語 -- 中等,PowerPoint、AutoCAD
使之覺醒生化科技有限公司,保健食品開發專員,http://www.104.com.tw/job/717zc?jobsource=hotjob_chr,"月薪 35,000~55,000元",全職,台北市松山區南京東路五段118號10樓之1,不需負擔管理責任,無需出差外派,日班，9:00~18:00 (彈性30分鐘上下班)，中午休息1小時,週休二日,一個月內,1 人,上班族,1年以上,大學以上,食品營養相關、食品科學相關,不拘,不拘
